NAME,MEDIAN_INCOME,BACHELORS_PERCENT,POPULATION,UNEMPLOYMENT_RATE,ZIP_CODE
ZCTA5 57760,60379.0,94.0,951.0,9.0,57760
ZCTA5 57761,91313.0,98.0,1188.0,15.0,57761
ZCTA5 57762,46136.0,22.0,517.0,0.0,57762
ZCTA5 57763,67578.0,57.0,384.0,8.0,57763
ZCTA5 57764,29318.0,52.0,1968.0,145.0,57764
ZCTA5 57766,-666666666.0,3.0,123.0,0.0,57766
ZCTA5 57767,250001.0,65.0,180.0,0.0,57767
ZCTA5 57769,87279.0,675.0,4121.0,38.0,57769
ZCTA5 57770,50811.0,167.0,5815.0,107.0,57770
ZCTA5 57772,20703.0,28.0,1381.0,49.0,57772
ZCTA5 57773,39583.0,3.0,221.0,10.0,57773
ZCTA5 57775,88333.0,55.0,358.0,0.0,57775
ZCTA5 57776,-666666666.0,0.0,0.0,0.0,57776
ZCTA5 57779,-666666666.0,125.0,267.0,0.0,57779
ZCTA5 57780,-666666666.0,10.0,64.0,0.0,57780
ZCTA5 57782,60000.0,13.0,63.0,0.0,57782
ZCTA5 57783,64500.0,3334.0,16533.0,208.0,57783
ZCTA5 57785,57146.0,1222.0,10523.0,128.0,57785
ZCTA5 57787,56422.0,189.0,677.0,0.0,57787
ZCTA5 57788,68750.0,30.0,675.0,30.0,57788
ZCTA5 57790,76875.0,159.0,1076.0,2.0,57790
ZCTA5 57791,43750.0,39.0,163.0,6.0,57791
ZCTA5 57792,95536.0,0.0,86.0,0.0,57792
ZCTA5 57793,77143.0,272.0,2107.0,60.0,57793
ZCTA5 57794,11724.0,0.0,857.0,67.0,57794
ZCTA5 57799,-666666666.0,0.0,565.0,26.0,57799
ZCTA5 58001,63250.0,20.0,261.0,2.0,58001
ZCTA5 58002,-666666666.0,0.0,0.0,0.0,58002
ZCTA5 58004,83375.0,63.0,371.0,3.0,58004
ZCTA5 58005,137222.0,196.0,892.0,6.0,58005
ZCTA5 58006,91250.0,83.0,508.0,4.0,58006
ZCTA5 58007,102083.0,28.0,114.0,0.0,58007
ZCTA5 58008,97083.0,37.0,213.0,1.0,58008
ZCTA5 58009,203500.0,9.0,30.0,0.0,58009
ZCTA5 58011,91250.0,109.0,441.0,2.0,58011
ZCTA5 58012,63365.0,500.0,2736.0,20.0,58012
ZCTA5 58013,-666666666.0,3.0,110.0,1.0,58013
ZCTA5 58015,97083.0,47.0,256.0,0.0,58015
ZCTA5 58016,101845.0,6.0,206.0,0.0,58016
ZCTA5 58017,77083.0,36.0,326.0,6.0,58017
ZCTA5 58018,101250.0,112.0,467.0,6.0,58018
ZCTA5 58021,76406.0,92.0,595.0,0.0,58021
